學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別,lat,lng
49,國立臺灣體育運動大學,D 日,B 學士,2346,1349,997,364,211,317,251,298,232,280,244,0,0,0,0,0,0,90,59,19 臺中市,1 一般,24.1486798,120.6876707
49,國立臺灣體育運動大學,N 職,M 碩士,114,72,42,28,14,24,14,14,7,5,3,1,2,0,2,0,0,0,0,19 臺中市,1 一般,24.1486798,120.6876707
49,國立臺灣體育運動大學,P 進,B 學士,388,273,115,73,30,64,22,57,22,49,28,0,0,0,0,0,0,30,13,19 臺中市,1 一般,24.1486798,120.6876707
50,國立臺中科技大學,D 日,M 碩士,430,178,252,80,110,65,98,24,30,9,14,0,0,0,0,0,0,0,0,19 臺中市,2 技職,24.1497433,120.6837712
50,國立臺中科技大學,D 日,B 四技,5424,1740,3684,498,932,413,918,394,868,374,889,0,0,0,0,0,0,61,77,19 臺中市,2 技職,24.1497433,120.6837712
50,國立臺中科技大學,D 日,C 二技,1346,282,1064,0,0,0,0,135,503,137,533,0,0,0,0,0,0,10,28,19 臺中市,2 技職,24.1497433,120.6837712
50,國立臺中科技大學,D 日,5 五專,3564,966,2598,215,512,211,551,211,536,163,499,141,445,0,0,0,0,25,55,19 臺中市,2 技職,24.1497433,120.6837712
50,國立臺中科技大學,N 職,M 碩士,244,102,142,49,73,35,54,12,10,6,5,0,0,0,0,0,0,0,0,19 臺中市,2 技職,24.1497433,120.6837712
50,國立臺中科技大學,N 修,B 四技,2179,763,1416,228,345,170,310,166,332,147,351,0,0,0,0,0,0,52,78,19 臺中市,2 技職,24.1497433,120.6837712
50,國立臺中科技大學,N 修,C 二技,1808,594,1214,0,0,0,0,274,628,275,516,0,0,0,0,0,0,45,70,19 臺中市,2 技職,24.1497433,120.6837712
1061,中華科技大學,N 修,C 二技,389,208,181,0,0,0,0,117,118,87,62,0,0,0,0,0,0,4,1,30 臺北市,2 技職,25.0336217,121.6099098
1061,中華科技大學,N 修,2 二專,118,77,41,40,12,34,23,0,0,0,0,0,0,0,0,0,0,3,6,30 臺北市,2 技職,25.0336217,121.6099098
1062,僑光科技大學,D 日,M 碩士,32,15,17,11,14,3,2,0,0,1,1,0,0,0,0,0,0,0,0,19 臺中市,2 技職,24.1895097,120.6430997
1062,僑光科技大學,D 日,B 四技,5899,2477,3422,586,791,597,749,601,875,606,948,0,0,0,0,0,0,87,59,19 臺中市,2 技職,24.1895097,120.6430997
1062,僑光科技大學,N 職,M 碩士,18,10,8,7,5,0,0,3,1,0,2,0,0,0,0,0,0,0,0,19 臺中市,2 技職,24.1895097,120.6430997
1062,僑光科技大學,N 修,B 四技,3892,2296,1596,601,348,474,328,530,414,530,419,0,0,0,0,0,0,161,87,19 臺中市,2 技職,24.1895097,120.6430997
1063,育達科技大學,D 日,M 碩士,164,72,92,27,35,20,23,8,5,17,29,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職,24.6509745,120.8422629
1063,育達科技大學,D 日,B 四技,1558,796,762,144,135,134,145,216,140,214,269,0,0,0,0,0,0,88,73,05 苗栗縣,2 技職,24.6509745,120.8422629
1063,育達科技大學,N 職,M 碩士,161,89,72,22,34,41,24,14,7,12,7,0,0,0,0,0,0,0,0,05 苗栗縣,2 技職,24.6509745,120.8422629
1063,育達科技大學,N 修,B 四技,859,495,364,133,112,92,72,129,87,97,82,0,0,0,0,0,0,44,11,05 苗栗縣,2 技職,24.6509745,120.8422629
1063,育達科技大學,N 修,C 二技,1042,331,711,0,0,0,0,172,388,150,312,0,0,0,0,0,0,9,11,05 苗栗縣,2 技職,24.6509745,120.8422629
1064,美和科技大學,D 日,M 碩士,147,60,87,30,35,21,27,8,17,1,8,0,0,0,0,0,0,0,0,13 屏東縣,2 技職,22.603895,120.560668
1064,美和科技大學,D 日,B 四技,1987,825,1162,170,250,163,230,229,318,228,338,0,0,0,0,0,0,35,26,13 屏東縣,2 技職,22.603895,120.560668
1064,美和科技大學,D 日,C 二技,227,34,193,0,0,0,0,20,98,13,94,0,0,0,0,0,0,1,1,13 屏東縣,2 技職,22.603895,120.560668
1064,美和科技大學,D 日,5 五專,1637,223,1414,47,240,41,286,52,290,40,268,31,277,0,0,0,0,12,53,13 屏東縣,2 技職,22.603895,120.560668
1064,美和科技大學,N 職,M 碩士,217,49,168,15,55,14,39,12,69,8,4,0,1,0,0,0,0,0,0,13 屏東縣,2 技職,22.603895,120.560668
1064,美和科技大學,N 修,B 四技,521,195,326,46,76,36,85,33,58,62,89,0,0,0,0,0,0,18,18,13 屏東縣,2 技職,22.603895,120.560668
1064,美和科技大學,N 修,C 二技,1072,232,840,0,0,0,0,106,494,122,339,0,0,0,0,0,0,4,7,13 屏東縣,2 技職,22.603895,120.560668
1064,美和科技大學,N 修,2 二專,127,65,62,34,28,28,32,0,0,0,0,0,0,0,0,0,0,3,2,13 屏東縣,2 技職,22.603895,120.560668
1065,吳鳳科技大學,D 日,M 碩士,50,30,20,14,6,11,10,3,1,1,3,1,0,0,0,0,0,0,0,10 嘉義縣,2 技職,23.5360276,120.4341554
1065,吳鳳科技大學,D 日,B 四技,3040,2073,967,459,206,407,241,576,262,570,237,0,0,0,0,0,0,61,21,10 嘉義縣,2 技職,23.5360276,120.4341554
1065,吳鳳科技大學,N 職,M 碩士,62,40,22,22,14,15,8,3,0,0,0,0,0,0,0,0,0,0,0,10 嘉義縣,2 技職,23.5360276,120.4341554
1065,吳鳳科技大學,N 修,B 四技,771,577,194,147,39,118,48,143,41,140,64,0,0,0,0,0,0,29,2,10 嘉義縣,2 技職,23.5360276,120.4341554
1065,吳鳳科技大學,N 修,C 二技,768,371,397,0,0,0,0,164,221,206,175,0,0,0,0,0,0,1,1,10 嘉義縣,2 技職,23.5360276,120.4341554
1065,吳鳳科技大學,N 修,2 二專,224,129,95,63,51,64,44,0,0,0,0,0,0,0,0,0,0,2,0,10 嘉義縣,2 技職,23.5360276,120.4341554
1066,環球科技大學,D 日,M 碩士,127,58,69,19,25,22,17,11,18,6,9,0,0,0,0,0,0,0,0,09 雲林縣,2 技職,23.6798529,120.5531411
1066,環球科技大學,D 日,B 四技,1728,827,901,130,103,149,181,235,280,240,283,0,0,0,0,0,0,73,54,09 雲林縣,2 技職,23.6798529,120.5531411
1066,環球科技大學,N 職,M 碩士,71,27,44,8,22,13,12,4,9,1,0,1,1,0,0,0,0,0,0,09 雲林縣,2 技職,23.6798529,120.5531411
1066,環球科技大學,N 修,B 四技,452,238,214,46,23,55,47,56,51,75,75,0,0,0,0,0,0,6,18,09 雲林縣,2 技職,23.6798529,120.5531411
1066,環球科技大學,N 修,C 二技,325,138,187,0,0,0,0,52,90,76,84,0,0,0,0,0,0,10,13,09 雲林縣,2 技職,23.6798529,120.5531411
1066,環球科技大學,N 修,2 二專,128,92,36,60,24,29,12,0,0,0,0,0,0,0,0,0,0,3,0,09 雲林縣,2 技職,23.6798529,120.5531411
1067,台灣首府大學,D 日,M 碩士,53,11,42,5,17,3,20,3,3,0,2,0,0,0,0,0,0,0,0,11 臺南市,1 一般,23.1930713,120.2684501
1067,台灣首府大學,D 日,B 學士,590,278,312,20,27,37,48,77,96,123,124,0,0,0,0,0,0,21,17,11 臺南市,1 一般,23.1930713,120.2684501
1067,台灣首府大學,P 進,B 學士,168,104,64,15,14,15,12,18,16,44,20,0,0,0,0,0,0,12,2,11 臺南市,1 一般,23.1930713,120.2684501
1068,中州科技大學,D 日,M 碩士,2,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,07 彰化縣,2 技職,23.9576199,120.6040587
1068,中州科技大學,D 日,B 四技,554,334,220,24,12,56,18,104,81,116,95,0,0,0,0,0,0,34,14,07 彰化縣,2 技職,23.9576199,120.6040587
1068,中州科技大學,N 職,M 碩士,10,3,7,1,3,0,0,2,3,0,1,0,0,0,0,0,0,0,0,07 彰化縣,2 技職,23.9576199,120.6040587
1068,中州科技大學,N 修,B 四技,532,372,160,67,28,98,35,71,34,106,51,0,0,0,0,0,0,30,12,07 彰化縣,2 技職,23.9576199,120.6040587
1068,中州科技大學,N 修,C 二技,757,209,548,0,0,0,0,91,226,117,314,0,0,0,0,0,0,1,8,07 彰化縣,2 技職,23.9576199,120.6040587
1068,中州科技大學,N 修,2 二專,76,7,69,0,26,7,40,0,0,0,0,0,0,0,0,0,0,0,3,07 彰化縣,2 技職,23.9576199,120.6040587
1069,修平科技大學,D 日,M 碩士,77,50,27,23,15,18,11,5,0,4,1,0,0,0,0,0,0,0,0,06 臺中市,2 技職,24.0953128,120.7138722
1069,修平科技大學,D 日,B 四技,2833,2086,747,393,137,482,180,538,193,530,198,0,0,0,0,0,0,143,39,06 臺中市,2 技職,24.0953128,120.7138722
1003,東吳大學,P 進,B 學士,954,358,596,62,82,85,143,76,142,73,127,42,81,0,0,0,0,20,21,30 臺北市,1 一般,25.094415,121.545748
23,國立雲林科技大學,N 修,B 四技,217,96,121,37,36,23,33,16,25,15,24,0,0,0,0,0,0,5,3,09 雲林縣,2 技職,23.6960596,120.5340433
24,國立屏東科技大學,D 日,D 博士,256,158,98,30,20,24,17,26,17,21,12,18,12,11,8,28,12,0,0,13 屏東縣,2 技職,22.6433454,120.6098266
24,國立屏東科技大學,D 日,M 碩士,1094,608,486,287,224,216,169,73,59,32,27,0,4,0,3,0,0,0,0,13 屏東縣,2 技職,22.6433454,120.6098266
24,國立屏東科技大學,D 日,B 四技,7640,4117,3523,1060,855,972,840,922,865,930,808,41,59,0,0,0,0,192,96,13 屏東縣,2 技職,22.6433454,120.6098266
24,國立屏東科技大學,N 職,M 碩士,282,178,104,70,45,77,39,12,11,5,9,5,0,9,0,0,0,0,0,13 屏東縣,2 技職,22.6433454,120.6098266
24,國立屏東科技大學,N 修,B 四技,1415,908,507,248,122,240,120,196,124,160,111,0,0,0,0,0,0,64,30,13 屏東縣,2 技職,22.6433454,120.6098266
25,國立臺北科技大學,D 日,D 博士,750,578,172,85,29,101,37,109,31,83,21,59,9,52,14,89,31,0,0,30 臺北市,2 技職,25.0422329,121.5354974
25,國立臺北科技大學,D 日,M 碩士,3190,2326,864,1023,383,1033,357,206,94,64,30,0,0,0,0,0,0,0,0,30 臺北市,2 技職,25.0422329,121.5354974
25,國立臺北科技大學,D 日,B 四技,6236,4418,1818,1094,430,1097,435,1070,452,977,433,0,0,0,0,0,0,180,68,30 臺北市,2 技職,25.0422329,121.5354974
25,國立臺北科技大學,D 日,C 二技,22,14,8,0,0,0,0,0,0,10,6,0,0,0,0,0,0,4,2,30 臺北市,2 技職,25.0422329,121.5354974
25,國立臺北科技大學,D 日,5 五專,121,100,21,23,3,28,4,24,8,25,6,0,0,0,0,0,0,0,0,30 臺北市,2 技職,25.0422329,121.5354974
25,國立臺北科技大學,N 職,M 碩士,1604,1100,504,362,207,403,180,150,57,92,35,52,11,41,14,0,0,0,0,30 臺北市,2 技職,25.0422329,121.5354974
25,國立臺北科技大學,N 修,B 四技,1695,1430,265,254,62,364,71,374,61,362,66,0,0,0,0,0,0,76,5,30 臺北市,2 技職,25.0422329,121.5354974
25,國立臺北科技大學,N 修,C 二技,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,30 臺北市,2 技職,25.0422329,121.5354974
28,國立臺北藝術大學,D 日,D 博士,109,52,57,10,11,9,7,11,10,6,12,8,4,3,6,5,7,0,0,30 臺北市,1 一般,25.1325182,121.4696818
28,國立臺北藝術大學,D 日,M 碩士,943,320,623,95,198,88,183,66,141,71,101,0,0,0,0,0,0,0,0,30 臺北市,1 一般,25.1325182,121.4696818
28,國立臺北藝術大學,D 日,B 學士,1746,643,1103,149,268,140,240,138,245,120,224,0,0,0,0,0,0,96,126,30 臺北市,1 一般,25.1325182,121.4696818
28,國立臺北藝術大學,D 日,X 4+X,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30 臺北市,1 一般,25.1325182,121.4696818
28,國立臺北藝術大學,D 日,5 七年,84,41,43,13,15,15,15,13,13,0,0,0,0,0,0,0,0,0,0,30 臺北市,1 一般,25.1325182,121.4696818
28,國立臺北藝術大學,N 職,M 碩士,180,53,127,15,41,13,38,17,28,5,15,3,5,0,0,0,0,0,0,30 臺北市,1 一般,25.1325182,121.4696818
29,國立臺灣藝術大學,D 日,D 博士,150,67,83,17,15,13,21,15,13,10,17,7,8,4,5,1,4,0,0,01 新北市,1 一般,25.0058674,121.4475607
29,國立臺灣藝術大學,D 日,M 碩士,756,279,477,91,159,82,138,61,120,45,59,0,1,0,0,0,0,0,0,01 新北市,1 一般,25.0058674,121.4475607
29,國立臺灣藝術大學,D 日,B 學士,2353,684,1669,164,389,158,378,143,392,149,372,0,0,0,0,0,0,70,138,01 新北市,1 一般,25.0058674,121.4475607
29,國立臺灣藝術大學,N 職,M 碩士,403,171,232,42,65,40,49,37,66,26,30,16,11,10,11,0,0,0,0,01 新北市,1 一般,25.0058674,121.4475607
29,國立臺灣藝術大學,N 修,C 二技,355,85,270,0,0,0,0,44,103,31,122,0,0,0,0,0,0,10,45,01 新北市,2 技職,25.0058674,121.4475607
29,國立臺灣藝術大學,P 進,B 學士,1597,506,1091,112,266,119,239,104,260,105,234,0,0,0,0,0,0,66,92,01 新北市,1 一般,25.0058674,121.4475607
30,國立臺東大學,D 日,D 博士,43,17,26,3,3,4,3,3,4,4,5,0,2,0,4,3,5,0,0,14 臺東縣,1 一般,22.736571,121.067897
30,國立臺東大學,D 日,M 碩士,399,165,234,61,92,39,65,44,46,19,24,2,6,0,1,0,0,0,0,14 臺東縣,1 一般,22.736571,121.067897
30,國立臺東大學,D 日,B 學士,3690,1837,1853,470,505,445,460,427,437,396,404,0,0,0,0,0,0,99,47,14 臺東縣,1 一般,22.736571,121.067897
30,國立臺東大學,N 職,M 碩士,609,174,435,66,156,59,150,20,59,12,27,6,20,5,13,6,10,0,0,14 臺東縣,1 一般,22.736571,121.067897
30,國立臺東大學,N 修,C 二技,110,45,65,0,0,0,0,24,34,20,31,0,0,0,0,0,0,1,0,14 臺東縣,2 技職,22.736571,121.067897
30,國立臺東大學,P 進,B 學士,289,126,163,42,59,25,55,29,28,21,11,0,0,0,0,0,0,9,10,14 臺東縣,1 一般,22.736571,121.067897
31,國立宜蘭大學,D 日,D 博士,17,11,6,5,2,0,0,3,1,1,2,0,0,2,1,0,0,0,0,02 宜蘭縣,1 一般,24.7462462,121.7477007
31,國立宜蘭大學,D 日,M 碩士,500,333,167,146,72,125,52,39,26,21,13,1,4,1,0,0,0,0,0,02 宜蘭縣,1 一般,24.7462462,121.7477007
31,國立宜蘭大學,D 日,B 學士,4476,2826,1650,778,418,678,393,639,406,604,410,0,0,0,0,0,0,127,23,02 宜蘭縣,1 一般,24.7462462,121.7477007
31,國立宜蘭大學,N 職,M 碩士,218,159,59,58,27,54,22,20,5,16,3,5,0,6,2,0,0,0,0,02 宜蘭縣,1 一般,24.7462462,121.7477007
31,國立宜蘭大學,P 進,B 學士,426,272,154,65,34,58,37,60,41,64,30,0,0,0,0,0,0,25,12,02 宜蘭縣,1 一般,24.7462462,121.7477007
32,國立聯合大學,D 日,D 博士,19,18,1,5,0,2,1,3,0,2,0,2,0,3,0,1,0,0,0,05 苗栗縣,1 一般,24.5458044,120.81232
32,國立聯合大學,D 日,M 碩士,407,289,118,128,56,91,39,42,13,24,7,3,3,1,0,0,0,0,0,05 苗栗縣,1 一般,24.5458044,120.81232
32,國立聯合大學,D 日,B 學士,6104,4202,1902,1075,490,1044,479,976,431,920,453,17,17,0,0,0,0,170,32,05 苗栗縣,1 一般,24.5458044,120.81232
1017,實踐大學,P 進,B 學士,1682,542,1140,78,207,132,270,139,306,139,265,0,0,0,0,0,0,54,92,30 臺北市,1 一般,25.083982,121.5459518
1083,台北海洋科技大學,D 日,C 二技,184,125,59,0,0,0,0,60,28,53,25,0,0,0,0,0,0,12,6,01 新北市,2 技職,25.1921692,121.4267044
1083,台北海洋科技大學,D 日,2 二專,51,49,2,21,1,27,1,0,0,0,0,0,0,0,0,0,0,1,0,01 新北市,2 技職,25.1921692,121.4267044
1083,台北海洋科技大學,D 日,5 五專,696,426,270,73,54,77,45,99,59,75,60,82,40,0,0,0,0,20,12,01 新北市,2 技職,25.1921692,121.4267044
1083,台北海洋科技大學,N 修,B 四技,216,108,108,37,33,23,42,21,14,24,17,0,0,0,0,0,0,3,2,01 新北市,2 技職,25.1921692,121.4267044
1083,台北海洋科技大學,N 修,C 二技,516,221,295,0,0,0,0,134,162,86,130,0,0,0,0,0,0,1,3,01 新北市,2 技職,25.1921692,121.4267044
1083,台北海洋科技大學,N 修,2 二專,81,73,8,46,2,23,6,0,0,0,0,0,0,0,0,0,0,4,0,01 新北市,2 技職,25.1921692,121.4267044
1084,亞東科技大學,D 日,M 碩士,51,43,8,17,5,15,1,9,0,2,2,0,0,0,0,0,0,0,0,01 新北市,2 技職,24.995194,121.4531189
1084,亞東科技大學,D 日,B 四技,3848,2805,1043,599,237,676,260,690,272,725,256,0,0,0,0,0,0,115,18,01 新北市,2 技職,24.995194,121.4531189
1084,亞東科技大學,D 日,C 二技,177,8,169,0,0,0,0,5,85,3,84,0,0,0,0,0,0,0,0,01 新北市,2 技職,24.995194,121.4531189
1084,亞東科技大學,N 修,C 二技,147,1,146,0,0,0,0,0,50,0,50,1,46,0,0,0,0,0,0,01 新北市,2 技職,24.995194,121.4531189
1125,中信金融管理學院,D 日,M 碩士,117,58,59,26,35,16,19,11,4,5,1,0,0,0,0,0,0,0,0,21 臺南市,1 一般,23.0637267,120.1629674
1125,中信金融管理學院,D 日,B 學士,765,470,295,171,83,109,87,98,60,83,65,0,0,0,0,0,0,9,0,21 臺南市,1 一般,23.0637267,120.1629674
1125,中信金融管理學院,N 職,M 碩士,37,15,22,11,19,4,3,0,0,0,0,0,0,0,0,0,0,0,0,21 臺南市,1 一般,23.0637267,120.1629674
1148,大漢技術學院,D 日,M 碩士,87,51,36,21,17,16,14,14,5,0,0,0,0,0,0,0,0,0,0,15 花蓮縣,2 技職,24.0392272,121.6057039
1148,大漢技術學院,D 日,B 四技,197,112,85,18,11,24,18,29,20,31,32,0,0,0,0,0,0,10,4,15 花蓮縣,2 技職,24.0392272,121.6057039
1148,大漢技術學院,N 修,B 四技,294,188,106,46,39,57,24,41,24,37,17,0,0,0,0,0,0,7,2,15 花蓮縣,2 技職,24.0392272,121.6057039
1148,大漢技術學院,N 修,C 二技,219,118,101,0,0,0,0,61,48,51,53,0,0,0,0,0,0,6,0,15 花蓮縣,2 技職,24.0392272,121.6057039
1148,大漢技術學院,N 修,2 二專,107,55,52,28,30,27,20,0,0,0,0,0,0,0,0,0,0,0,2,15 花蓮縣,2 技職,24.0392272,121.6057039
1159,和春技術學院,D 日,B 四技,77,61,16,0,0,15,2,10,2,23,7,0,0,0,0,0,0,13,5,12 高雄市,2 技職,22.6080409,120.4270968
1159,和春技術學院,D 日,5 五專,34,18,16,0,0,0,0,3,0,3,2,11,12,0,0,0,0,1,2,12 高雄市,2 技職,22.6080409,120.4270968
1159,和春技術學院,N 修,B 四技,32,26,6,0,0,7,0,7,2,7,3,0,0,0,0,0,0,5,1,12 高雄市,2 技職,22.6080409,120.4270968
1159,和春技術學院,N 修,C 二技,106,76,30,0,0,0,0,0,0,69,26,0,0,0,0,0,0,7,4,12 高雄市,2 技職,22.6080409,120.4270968
1159,和春技術學院,N 修,2 二專,52,43,9,0,0,33,7,0,0,0,0,0,0,0,0,0,0,10,2,12 高雄市,2 技職,22.6080409,120.4270968
1168,南亞技術學院,D 日,M 碩士,11,9,2,0,0,2,1,4,1,3,0,0,0,0,0,0,0,0,0,03 桃園市,2 技職,24.9369569,121.2516879
1168,南亞技術學院,D 日,B 四技,1168,748,420,139,70,195,101,216,102,168,111,0,0,0,0,0,0,30,36,03 桃園市,2 技職,24.9369569,121.2516879
1168,南亞技術學院,D 日,5 五專,196,118,78,18,12,16,14,26,13,20,20,30,17,0,0,0,0,8,2,03 桃園市,2 技職,24.9369569,121.2516879
1168,南亞技術學院,N 修,B 四技,391,239,152,37,32,29,37,75,27,76,41,0,0,0,0,0,0,22,15,03 桃園市,2 技職,24.9369569,121.2516879
1168,南亞技術學院,N 修,C 二技,966,338,628,0,0,0,0,88,315,239,304,0,0,0,0,0,0,11,9,03 桃園市,2 技職,24.9369569,121.2516879
1168,南亞技術學院,N 修,2 二專,30,20,10,0,0,16,8,0,0,0,0,0,0,0,0,0,0,4,2,03 桃園市,2 技職,24.9369569,121.2516879
1182,蘭陽技術學院,D 日,B 四技,132,79,53,0,0,8,10,13,4,52,35,0,0,0,0,0,0,6,4,02 宜蘭縣,2 技職,24.864987,121.817719
1182,蘭陽技術學院,D 日,5 五專,130,71,59,0,0,5,6,10,8,19,20,22,16,0,0,0,0,15,9,02 宜蘭縣,2 技職,24.864987,121.817719
1182,蘭陽技術學院,N 修,C 二技,63,34,29,0,0,0,0,0,0,34,29,0,0,0,0,0,0,0,0,02 宜蘭縣,2 技職,24.864987,121.817719
1183,黎明技術學院,D 日,B 四技,3550,1877,1673,390,437,404,404,460,390,531,382,0,0,0,0,0,0,92,60,01 新北市,2 技職,25.0662724,121.4210118
1183,黎明技術學院,D 日,5 五專,380,316,64,54,14,67,16,50,10,64,10,70,12,0,0,0,0,11,2,01 新北市,2 技職,25.0662724,121.4210118
1183,黎明技術學院,N 修,B 四技,1259,786,473,293,159,162,104,175,96,130,102,0,0,0,0,0,0,26,12,01 新北市,2 技職,25.0662724,121.4210118
1183,黎明技術學院,N 修,C 二技,65,15,50,0,0,0,0,10,29,4,21,0,0,0,0,0,0,1,0,01 新北市,2 技職,25.0662724,121.4210118
1185,經國管理暨健康學院,D 日,M 碩士,48,4,44,1,19,1,17,1,5,1,3,0,0,0,0,0,0,0,0,17 基隆市,2 技職,25.1500306,121.7277801
