縣市,站點UID,站點ID,站點名稱,站點地址,腳踏車可租借數量,lat,lng
台北市,TPE500101152,500101152,YouBike2.0_捷運忠孝新生站(3號出口),忠孝東路三段與10巷口,23,25.04189,121.53376000000002
台北市,TPE500101153,500101153,YouBike2.0_瑠公公園,忠孝東路四段49巷4弄/大安路口,20,25.04201,121.54612
台北市,TPE500101154,500101154,YouBike2.0_敦化市民路口,敦化南路1段158號(前),23,25.04405,121.5486
台北市,TPE500101155,500101155,YouBike2.0_捷運大安森林公園站(5號出口),捷運大安森林公園站(5號出口)東側,15,25.033360000000002,121.5364
台北市,TPE500101156,500101156,YouBike2.0_信義建國路口,建國南路二段與信義路三段口西南側,34,25.0328,121.53746000000001
台北市,TPE500101157,500101157,YouBike2.0_東豐公園,東豐街24號(旁公園路側),19,25.03569,121.5451
台北市,TPE500101158,500101158,YouBike2.0_德安公園(四維路66巷),四維路66巷6號北側,14,25.03473,121.54767
台北市,TPE500101159,500101159,YouBike2.0_捷運忠孝復興站(5號出口),復興南路一段135巷3號(對面),41,25.04262,121.54443
台北市,TPE500101160,500101160,YouBike2.0_捷運忠孝敦化站(2號出口),忠孝東路四段221號,17,25.041529999999998,121.5524
台北市,TPE500101161,500101161,YouBike2.0_捷運忠孝敦化站(7號出口),忠孝東路四段143號,18,25.04159,121.54937
台北市,TPE500101163,500101163,YouBike2.0_瑞安街208巷,瑞安街208巷39號對面,15,25.02979,121.54053
台北市,TPE500101165,500101165,YouBike2.0_樂利路21巷口,樂利路25號,17,25.0277,121.55131999999999
台北市,TPE500101166,500101166,YouBike2.0_捷運科技大樓站(台北教育大學),和平東路二段134號前,46,25.02469,121.54458999999999
台北市,TPE500101167,500101167,YouBike2.0_捷運國父紀念館站(2號出口),忠孝東路四段/光復南路口(西南側),31,25.041220000000003,121.55745
台北市,TPE500101168,500101168,YouBike2.0_仁愛醫院,仁愛路四段/大安路一段口(西南側),27,25.03756,121.54587
台北市,TPE500101169,500101169,YouBike2.0_捷運信義安和站(4號出口),信義路四段252號前,18,25.03305,121.55378
台北市,TPE500101170,500101170,YouBike2.0_成功國宅,和平東路三段1巷/四維路198巷口(西北側),28,25.02681,121.54668000000001
台北市,TPE500101171,500101171,YouBike2.0_仁愛延吉街口,仁愛路四段376號前,23,25.03748,121.55564
台北市,TPE500101172,500101172,YouBike2.0_捷運信義安和站(1號出口),信義路四段225號前,23,25.03331,121.55265
台北市,TPE500101173,500101173,YouBike2.0_敦化南路二段103巷口,敦化南路二段99號前,12,25.0287,121.54903999999999
台北市,TPE500101174,500101174,YouBike2.0_復興南路二段128巷口,復興南路二段142之1號前,24,25.02861,121.54336
台北市,TPE500101175,500101175,YouBike2.0_和平東建國南路口,和平東路/建國南路口(北側),17,25.02575,121.5377
台北市,TPE500101176,500101176,YouBike2.0_芳蘭山莊,基隆路三段155巷148號,16,25.01223,121.54788
台北市,TPE500101177,500101177,YouBike2.0_復興南路一段126巷口,復興南路一段126巷1號前,15,25.043110000000002,121.54313
台北市,TPE500101179,500101179,YouBike2.0_捷運東門站(5號出口),信義路二段178號前,28,25.03363,121.52962
台北市,TPE500101180,500101180,YouBike2.0_仁愛路四段48巷口,仁愛路四段48巷/東豐街(北側),11,25.036089999999998,121.54709
台北市,TPE500101181,500101181,YouBike2.0_捷運公館站(3號出口),捷運公館站(3號出口)西側,90,25.01551,121.53374
台北市,TPE500101182,500101182,YouBike2.0_臺北科技大學(電機工程系),忠孝東路三段100號對側,16,25.04196,121.53653
台北市,TPE500101183,500101183,YouBike2.0_忠孝東路三段217巷口,忠孝東路三段229-1號前,34,25.04176,121.54026999999999
台北市,TPE500101184,500101184,YouBike2.0_新生南路三段94巷口,新生南路三段94號前,15,25.01744,121.53334
台北市,TPE500103010,500103010,YouBike2.0_酒泉延平路口,酒泉街235號前,26,25.0722,121.51057
台北市,TPE500103011,500103011,YouBike2.0_重慶國中,敦煌路19號前,37,25.075670000000002,121.51862
台北市,TPE500103012,500103012,YouBike2.0_重慶北路三段383巷口,敦煌路與重慶北路三段383巷口,25,25.075979999999998,121.51409
台北市,TPE500103013,500103013,YouBike2.0_台北數位產業園區,承德路三段287號前方,24,25.07447,121.52003
台北市,TPE500103019,500103019,YouBike2.0_民權延平路口(西北側),民權西路239號前方,20,25.06326,121.51098999999999
台北市,TPE500103020,500103020,YouBike2.0_民權迪化街口,民權西路與迪化街一段口(橋墩下),23,25.063270000000003,121.50943000000001
台北市,TPE500103021,500103021,YouBike2.0_大稻埕公園,安西街1巷7號(對側),25,25.05915,121.51033000000001
台北市,TPE500103022,500103022,YouBike2.0_大龍老人住宅,民族西路82號前方,14,25.06853,121.51728999999999
台北市,TPE500103023,500103023,YouBike2.0_大龍峒社會住宅,承德路三段210號旁,20,25.0708,121.51826000000001
台北市,TPE500103024,500103024,YouBike2.0_捷運大橋頭站(2號出口),捷運大橋頭站(2號出口)西側,57,25.06314,121.51308
台北市,TPE500103025,500103025,YouBike2.0_捷運大橋頭站(1A出口),民權西路237號旁,18,25.06325,121.51162
台北市,TPE500103026,500103026,YouBike2.0_捷運民權西路站(2號出口),捷運民權西路站(2號出口)西側,25,25.06174,121.51969
台北市,TPE500103027,500103027,YouBike2.0_捷運雙連站(2號出口),萬全街22號對面,31,25.05826,121.52063000000001
台北市,TPE500103028,500103028,YouBike2.0_捷運北門站(3號出口),塔城街與鄭州路口西南側,52,25.04991,121.5104
台北市,TPE500103029,500103029,YouBike2.0_朝陽公園,重慶北路二段62-1號旁,10,25.05592,121.51366999999999
台北市,TPE500103030,500103030,YouBike2.0_永樂市場,南京西路233巷103號旁,30,25.05454,121.51052
台北市,TPE500103031,500103031,YouBike2.0_大龍公園,大龍街217號對側,18,25.07049,121.51596
台北市,TPE500103032,500103032,YouBike2.0_重慶涼州街口,重慶北路二段180號旁,13,25.06054,121.51338
台北市,TPE500103033,500103033,YouBike2.0_圓山線形公園,玉門街/民族西路(西北側),14,25.06867,121.51993
台北市,TPE500103034,500103034,YouBike2.0_圓環站,重慶北路一段128號前,25,25.05369,121.51418000000001
台北市,TPE500103035,500103035,YouBike2.0_重慶民族路口,重慶北路三段162號前,17,25.06853,121.51359
台北市,TPE500103036,500103036,YouBike2.0_承德路三段8巷口,承德路三段14號前,10,25.06407,121.51822
台北市,TPE500103037,500103037,YouBike2.0_太原廣場,鄭州路23號(旁),31,25.04925,121.51468
台北市,TPE500103038,500103038,YouBike2.0_國順公園,昌吉街117號前,20,25.065939999999998,121.51078000000001
台北市,TPE500103039,500103039,YouBike2.0_聯合醫院中興院區,長安西路299號(對面),27,25.05205,121.50818000000001
台北市,TPE500103040,500103040,YouBike2.0_蔣渭水紀念公園,錦西街/興城街口(西南側),24,25.06011,121.51728999999999
台北市,TPE500103041,500103041,YouBike2.0_迪化休閒運動公園,延平北路四段200號(南側),15,25.07491,121.5115
台北市,TPE500103042,500103042,YouBike2.0_大同運動中心,大龍街51號(旁),16,25.06496,121.51608
台北市,TPE500103043,500103043,YouBike2.0_重慶保安街口(家樂福重慶店),重慶北路二段171號(旁),20,25.059179999999998,121.51373000000001
台北市,TPE500103044,500103044,YouBike2.0_大稻埕碼頭,大稻埕疏散門(淡五號水門)外,35,25.056620000000002,121.50783
台北市,TPE500101001,500101001,YouBike2.0_捷運科技大樓站,復興南路二段235號前,28,25.02605,121.5436
台北市,TPE500101002,500101002,YouBike2.0_復興南路二段273號前,復興南路二段273號西側,21,25.02565,121.54356999999999
台北市,TPE500101003,500101003,YouBike2.0_國北教大實小東側門,和平東路二段96巷7號,16,25.02429,121.54123999999999
台北市,TPE500101004,500101004,YouBike2.0_和平公園東側,和平東路二段118巷33號,11,25.02351,121.54281999999999
台北市,TPE500101005,500101005,YouBike2.0_辛亥復興路口西北側,復興南路二段368號,16,25.02153,121.54298999999999
台北市,TPE500101006,500101006,YouBike2.0_復興南路二段280號前,復興南路二段280號,11,25.02429,121.54328000000001
台北市,TPE500101007,500101007,YouBike2.0_復興南路二段340巷口,復興南路二段342號,11,25.02253,121.54326
台北市,TPE500101008,500101008,YouBike2.0_新生南路三段52號前,新生南路三段52號,17,25.02112,121.53407
台北市,TPE500101009,500101009,YouBike2.0_新生南路三段66號前,新生南路三段66號東側,16,25.01976,121.53383999999998
台北市,TPE500101010,500101010,YouBike2.0_新生南路三段82號前,新生南路三段82號,20,25.01894,121.53361000000001
台北市,TPE500101012,500101012,YouBike2.0_辛亥路一段30號前,辛亥路一段30號,8,25.01986,121.52982
台北市,TPE500101013,500101013,YouBike2.0_和平復興路口西北側,復興南路二段236號,9,25.02543,121.54332
台北市,TPE500101014,500101014,YouBike2.0_羅斯福路三段311號前,羅斯福路三段311號,11,25.01717,121.53201999999999
台北市,TPE500101015,500101015,YouBike2.0_大安運動中心停車場,敦南街76巷28號,14,25.020348000000002,121.546446
台北市,TPE500101016,500101016,YouBike2.0_羅斯福路三段245號前,羅斯福路三段245號,8,25.019270000000002,121.52989
台北市,TPE500101018,500101018,YouBike2.0_溫州公園,羅斯福路三段283巷11號,5,25.01895,121.53156000000001
台北市,TPE500101019,500101019,YouBike2.0_和平臥龍街口,臥龍街1號,15,25.024461,121.546705
台北市,TPE500101020,500101020,YouBike2.0_溫州停車場,新生南路三段54巷/溫州街口,5,25.02093,121.5331
台北市,TPE500101021,500101021,YouBike2.0_銘傳國小側門,羅斯福路四段21號旁天橋下,7,25.01385,121.53549
台北市,TPE500101022,500101022,YouBike2.0_捷運公館站(2號出口),捷運公館站(2號出口)外側,99,25.01491,121.53438
台北市,TPE500101023,500101023,YouBike2.0_第二學生活動中心,羅斯福路四段107號(西南側),27,25.012439999999998,121.53661000000001
台北市,TPE500101024,500101024,YouBike2.0_臺灣科技大學正門,基隆路四段43號(臺灣科技大學正門旁小側門靠田徑場),30,25.01451,121.54142
台北市,TPE500101025,500101025,YouBike2.0_臺灣科技大學側門,基隆路四段73巷與基隆路口,99,25.01295,121.53973
台北市,TPE500101026,500101026,YouBike2.0_公館公園,羅斯福路四段113巷基隆路四段41巷口,15,25.01137,121.54061999999999
台北市,TPE500101027,500101027,YouBike2.0_臺灣科技大學後門,基隆路四段41巷68弄臺科帆船大樓旁,39,25.01182,121.54165
台北市,TPE500101028,500101028,YouBike2.0_臺大醫學院附設癌醫中心,基隆路三段155巷57號西側,20,25.01426,121.54382
台北市,TPE500101029,500101029,YouBike2.0_臺大環研大樓,芳蘭路/基隆路三段155巷口,15,25.01234,121.54503000000001
台北市,TPE500101030,500101030,YouBike2.0_臺大永齡生醫工程館,芳蘭路51號西北側,34,25.0136,121.54656000000001
台北市,TPE500101031,500101031,YouBike2.0_臺大男七舍前,長興街/長興街80巷口西側,20,25.01537,121.54698
台北市,TPE500101032,500101032,YouBike2.0_臺大男一舍前,長興街50號西北側,61,25.016370000000002,121.54535
台北市,TPE500101033,500101033,YouBike2.0_臺大男六舍前,大安區長興街31號,46,25.01664,121.5452
台北市,TPE500101034,500101034,YouBike2.0_臺大動物醫院前,基隆路三段155巷/基隆路四段口,18,25.01576,121.54291
台北市,TPE500101035,500101035,YouBike2.0_臺大土木研究大樓前,辛亥路三段188號,24,25.017870000000002,121.5476
台北市,TPE500101036,500101036,YouBike2.0_臺大萬才館前,臺大萬才館北側,20,25.02032,121.54496999999999
台北市,TPE500101037,500101037,YouBike2.0_臺大國青大樓宿舍前,辛亥路三段30號西北側,20,25.02076,121.54432
台北市,TPE500101038,500101038,YouBike2.0_臺大社科院圖書館前,辛亥路與復興南路口西南側,27,25.02101,121.54283999999998
台北市,TPE500101039,500101039,YouBike2.0_臺大法人語言訓練中心前,臺大法人語言訓練中心北側,28,25.02104,121.54081000000001
台北市,TPE500101040,500101040,YouBike2.0_臺大綜合體育館停車場前,臺大綜合體育館北側,25,25.0222,121.53626000000001
台北市,TPE500101041,500101041,YouBike2.0_辛亥新生路口東南側,辛亥新生路口東南側,41,25.02218,121.53473999999999
台北市,TPE500101042,500101042,YouBike2.0_基隆長興路口東側,基隆長興路口東側,15,25.01727,121.54471000000001
台北市,TPE500101091,500101091,YouBike2.0_國北教大側門南側,敦南街51號,25,25.022864000000002,121.546622
台北市,TPE500101092,500101092,YouBike2.0_和平實小東北側,敦南街73號,13,25.021641,121.54704
台北市,TPE500101093,500101093,YouBike2.0_大安區健康服務中心,辛亥路三段15號,15,25.021469,121.544069
台北市,TPE500101094,500101094,YouBike2.0_辛亥泰順街口,辛亥泰順街口東南側,20,25.021929999999998,121.53165
台北市,TPE500101095,500101095,YouBike2.0_芳和國中,臥龍街170號(前),28,25.0189,121.55013000000001
台北市,TPE500101097,500101097,YouBike2.0_臥龍樂業街口,臥龍街234-2號,36,25.01856,121.55558
台北市,TPE500101098,500101098,YouBike2.0_臥龍公園,辛亥路三段223號西側,14,25.01623,121.55037
台北市,TPE500101099,500101099,YouBike2.0_嘉興公園,樂業街101巷3號西北側,44,25.021,121.55211000000001
台北市,TPE500101100,500101100,YouBike2.0_捷運麟光站(2號出口),和平東路三段420號東北側,35,25.0181,121.55928999999999
台北市,TPE500101101,500101101,YouBike2.0_捷運六張犁站,和平東路三段410號,57,25.023970000000002,121.55266
台北市,TPE500101102,500101102,YouBike2.0_喬治工商,基隆路二段166號,26,25.02705,121.55551000000001
台北市,TPE500101103,500101103,YouBike2.0_法治公園,通化街189號西側,15,25.02694,121.55325
台北市,TPE500101104,500101104,YouBike2.0_捷運臺電大樓站(2號出口),辛亥路一段/羅斯福路三段口北側(辛亥路側),15,25.020210000000002,121.52942
台北市,TPE500101105,500101105,YouBike2.0_和平金山路口,和平東路一段/金山南路二段西南側,45,25.02669,121.52528999999998
台北市,TPE500101107,500101107,YouBike2.0_和平龍泉街口,和平東路一段/龍泉街口西南側,41,25.02638,121.52971000000001
台北市,TPE500101108,500101108,YouBike2.0_和平泰順街口,和平東路一段/泰順街口東南側,9,25.02621,121.53171
台北市,TPE500101109,500101109,YouBike2.0_臺灣師範大學(圖書館),和平東路一段129號前,33,25.0266,121.52973
台北市,TPE500101110,500101110,YouBike2.0_捷運古亭站(6號出口),羅斯福路二段41號前,60,25.0276,121.52216999999999
台北市,TPE500101111,500101111,YouBike2.0_捷運古亭站(5號出口),和平東路一段19號前,14,25.02715,121.52293
台北市,TPE500101113,500101113,YouBike2.0_臺北市立圖書館(總館),建國南路二段/建國南路二段151巷(橋下空間),40,25.02895,121.5379
台北市,TPE500101114,500101114,YouBike2.0_新生和平路口東北側,新生南路二段與和平東路二段口東北側,35,25.02657,121.53515
台北市,TPE500101115,500101115,YouBike2.0_建國和平路口西北側,建國南路二段與和平東路二段口西北側,41,25.02606,121.53738
台北市,TPE500101116,500101116,YouBike2.0_金華公園,金華街249號對面,31,25.02984,121.53107
台北市,TPE500101117,500101117,YouBike2.0_捷運東門站(3號出口),信義路二段128號前,15,25.03383,121.52815
台北市,TPE500101118,500101118,YouBike2.0_金甌女中,信義路二段與杭州南路二段東南側,12,25.03519,121.5245
台北市,TPE500101119,500101119,YouBike2.0_金杭公園,愛國東路21巷與杭州南路二段25巷口東南側,20,25.03325,121.52436000000002
台北市,TPE500101120,500101120,YouBike2.0_愛國金山路口,愛國東路與杭州南路二段口西南側,33,25.03164,121.52661
台北市,TPE500101122,500101122,YouBike2.0_敦化南路二段293巷口南側,敦化南路二段293巷口南側,14,25.0237,121.54898999999999
台北市,TPE500101123,500101123,YouBike2.0_敦化基隆路口,敦化南路二段218號,29,25.02215,121.54839
台北市,TPE500101124,500101124,YouBike2.0_安和路二段181巷口,安和路二段185號,17,25.02721,121.54988
台北市,TPE500101125,500101125,YouBike2.0_臨江街夜市(通化街101巷口),通化街111號,30,25.02952,121.55406
台北市,TPE500101126,500101126,YouBike2.0_臨江街夜市(基隆路),基隆路二段108號,17,25.02931,121.55721000000001
台北市,TPE500101127,500101127,YouBike2.0_台北科技大學億光大樓,忠孝東路三段81號,46,25.04177,121.53833
台北市,TPE500101128,500101128,YouBike2.0_新生南路一段119巷口,新生南路一段113號,33,25.040029999999998,121.53298999999998
台北市,TPE500101129,500101129,YouBike2.0_幸安國小(仁愛路),仁愛路三段22號,16,25.03753,121.53523
台北市,TPE500101130,500101130,YouBike2.0_民榮公園,建國南路一段304巷45號南側,15,25.035339999999998,121.5354
台北市,TPE500101131,500101131,YouBike2.0_復興南路1段340巷口,復興南路一段信義路三段147巷45弄口,38,25.037010000000002,121.54348
台北市,TPE500101132,500101132,YouBike2.0_建國濟南路口,建國南路一段/濟南路三段口(東南側),29,25.03935,121.53828
台北市,TPE500101133,500101133,YouBike2.0_捷運忠孝復興站(2號出口),復興南路一段/仁愛路三段123巷13弄(西北側),48,25.04035,121.5436
台北市,TPE500101134,500101134,YouBike2.0_捷運大安站(4號出口),信義路4段6號(前),13,25.0332,121.5439
台北市,TPE500101135,500101135,YouBike2.0_捷運大安站(2號出口),信義路3段143號(前),22,25.03358,121.54141000000001
台北市,TPE500101185,500101185,YouBike2.0_辛亥新生路口西北側,辛亥路一段/新生南路三段(西北側),12,25.02267,121.5341
台北市,TPE500101186,500101186,YouBike2.0_捷運大安站(6號出口),復興南路一段303號前,19,25.03479,121.54376
台北市,TPE500101187,500101187,YouBike2.0_臥龍街195巷口,臥龍街/臥龍街195巷(南側),14,25.01783,121.55224
台北市,TPE500101188,500101188,YouBike2.0_辛亥路三段157巷口,辛亥路三段與辛亥路三段157巷口西北側,19,25.01727,121.54903999999999
台北市,TPE500101189,500101189,YouBike2.0_臥龍基隆路口,臥龍街與基隆路二段口東北側,16,25.02039,121.54853
台北市,TPE500101190,500101190,YouBike2.0_敦親公園,和平東路二段96巷8之1號(前方),16,25.02347,121.54108000000001
台北市,TPE500101191,500101191,YouBike2.0_大安運動中心,辛亥路三段55號前方人行道(大安運動中心),24,25.02054,121.54561000000001
台北市,TPE500101192,500101192,YouBike2.0_和平敦化路口,和平東路三段 / 敦化南路二段口(東側),22,25.02444,121.54908
台北市,TPE500101193,500101193,YouBike2.0_基隆長興路口,基隆路/長興街(東南側),43,25.01705,121.54435
台北市,TPE500101194,500101194,YouBike2.0_仁愛路四段122巷口,仁愛路四段118號前,16,25.03762,121.55009
台北市,TPE500101196,500101196,YouBike2.0_市民敦化路口,敦化南路一段111號前,15,25.04464,121.54943999999999
台北市,TPE500101197,500101197,YouBike2.0_忠孝東路四段49巷口,忠孝東路四段55號前,15,25.04172,121.54541
台北市,TPE500101198,500101198,YouBike2.0_市民復興路口(東南側),市民大道四段/復興路一段口(東南側),16,25.04472,121.54401000000001
台北市,TPE500101199,500101199,YouBike2.0_和平新生路口西南側,新生南路三段2號前,13,25.02598,121.53453999999999
台北市,TPE500101200,500101200,YouBike2.0_全安公園,安和路二段227巷16號對側,16,25.02535,121.55101
台北市,TPE500101201,500101201,YouBike2.0_信義路三段134巷口,信義路三段/信義路三段134巷口,19,25.03333,121.53968
台北市,TPE500101202,500101202,YouBike2.0_仁愛敦南圓環(東南側),仁愛路四段110號前,17,25.03715,121.54936000000001
台北市,TPE500101203,500101203,YouBike2.0_臺北遠企購物中心,敦化南路二段201號前,33,25.02709,121.54902
台北市,TPE500101204,500101204,YouBike2.0_外交部外交及國際事務學院,敦化南路一段280號,17,25.0371,121.54839
台北市,TPE500101205,500101205,YouBike2.0_四維路170巷口,敦化南路二段92號對側中央分隔島,22,25.02821,121.54863999999999
台北市,TPE500101206,500101206,YouBike2.0_捷運大安站(3號出口),信義路三段184號前,34,25.033279999999998,121.5425
台北市,TPE500101207,500101207,YouBike2.0_捷運臺電大樓站(2號出口)_1,羅斯福路三段201號旁,28,25.02055,121.52855
台北市,TPE500101208,500101208,YouBike2.0_信義路四段199巷,信義路四段199巷/安和路一段90巷口,16,25.034589999999998,121.55163999999999
台北市,TPE500101209,500101209,YouBike2.0_臺大資訊大樓,辛亥路二段(臺大外語學院外),40,25.02101,121.54153000000001
台北市,TPE500101210,500101210,YouBike2.0_敦化南路二段81巷,敦化南路二段與敦化南路二段81巷口西北側,40,25.03002,121.54893
台北市,TPE500101211,500101211,YouBike2.0_原臺北刑務所官舍,金華街78號對側,23,25.03054,121.52466000000001
台北市,TPE500101212,500101212,YouBike2.0_捷運國父紀念館站(1號出口),光復南路200巷26號東側,25,25.04205,121.55657
台北市,TPE500101213,500101213,YouBike2.0_懷生國中,忠孝東路三段248巷30號,15,25.0401,121.54122
台北市,TPE500101214,500101214,YouBike2.0_仁愛敦南圓環(西北側),仁愛路四段85號前,20,25.03827,121.54802
台北市,TPE500101215,500101215,YouBike2.0_立人國小,安和路二段/敦化南路二段81巷(西南側),17,25.02974,121.55146
台北市,TPE500101216,500101216,YouBike2.0_和平東路二段18巷口,辛亥路二段43號前,24,25.022679999999998,121.53608
台北市,TPE500101217,500101217,YouBike2.0_捷運大安站(5號出口),復興南路二段/信義路四段(東南側),19,25.03303,121.54372
台北市,TPE500101218,500101218,YouBike2.0_臨江公園,通化街143巷33號對側,13,25.02832,121.55592
台北市,TPE500101219,500101219,YouBike2.0_羅斯福路四段113巷19弄口,羅斯福路四段119巷84號對側,14,25.010270000000002,121.53998
台北市,TPE500103001,500103001,YouBike2.0_延平國宅,延平北路五段1-1號(對面),30,25.07894,121.51121
台北市,TPE500103002,500103002,YouBike2.0_臺北市立圖書館大同分館,重慶北路三段318號旁,20,25.0741,121.51348999999999
台北市,TPE500103003,500103003,YouBike2.0_合昌宮,環河北路二段371號旁,15,25.077170000000002,121.50934
台北市,TPE500103004,500103004,YouBike2.0_民族延平路口,延平北路三段123號北側,19,25.06864,121.5107
台北市,TPE500103005,500103005,YouBike2.0_重慶酒泉街口,重慶北路三段260號前,30,25.071579999999997,121.51368000000001
台北市,TPE500103006,500103006,YouBike2.0_樹德公園,大龍街85巷12號對側,14,25.066470000000002,121.5165
台北市,TPE500103007,500103007,YouBike2.0_陳天來故居,西寧北路112號前方,18,25.05601,121.50895
台北市,TPE500103008,500103008,YouBike2.0_臺北孔廟,哈密街61號口對側人行道,27,25.07378,121.51583000000001
台北市,TPE500103009,500103009,YouBike2.0_捷運圓山站(1號出口),酒泉街235號前,44,25.07133,121.52023999999999
台北市,TPE500103045,500103045,YouBike2.0_歸綏戲曲公園,重慶北路二段/歸綏街口(南側),20,25.05805,121.51353
台北市,TPE500103046,500103046,YouBike2.0_民權國中(民權西路),民權西路/蘭州街(西側),17,25.06322,121.5144
台北市,TPE500103047,500103047,YouBike2.0_承德民權路口,承德路二段239號前,17,25.06247,121.51839
台北市,TPE500103048,500103048,YouBike2.0_南京太原路口,南京西路/太原路(東側),18,25.05366,121.51638
台北市,TPE500103049,500103049,YouBike2.0_承德民生西路口,承德路二段137號前,11,25.057560000000002,121.51828
台北市,TPE500103050,500103050,YouBike2.0_太原五原路口,太原路 / 五原路口(東南側),20,25.05646,121.51698
台北市,TPE500103051,500103051,YouBike2.0_臺北轉運站(華陰街),華陰街45號(對面),20,25.04937,121.51914
台北市,TPE500103052,500103052,YouBike2.0_捷運民權西路站(3號出口),民權西路70巷37號對面,42,25.06129,121.52021
台北市,TPE500103053,500103053,YouBike2.0_捷運中山站(5號出口),南京西路57號前,11,25.052960000000002,121.51938
台北市,TPE500103054,500103054,YouBike2.0_重慶長安路口,長安西路244號(重慶路側),15,25.0515,121.51398
台北市,TPE500103055,500103055,YouBike2.0_承德昌吉街口,承德路三段83號前,18,25.06587,121.51847
台北市,TPE500103056,500103056,YouBike2.0_大同16號廣場,環河北路一段/民生西路口(東南側),14,25.05658,121.50826
台北市,TPE500103057,500103057,YouBike2.0_捷運圓山站(2號出口),承德路三段/庫倫街(東南側),27,25.071820000000002,121.51928999999998
台北市,TPE500103058,500103058,YouBike2.0_樹德公園_1,大龍街/大龍街85巷(東北側),21,25.066689999999998,121.51615
台北市,TPE500103059,500103059,YouBike2.0_承德鄭州路口(市民高架下),承德路一段/鄭州路口(市民高架下),38,25.04879,121.51626
台北市,TPE500103060,500103060,YouBike2.0_成淵高中,錦西街與錦西街52巷口東北側,14,25.06036,121.51996000000001
台北市,TPE500103061,500103061,YouBike2.0_雙蓮國小,民權西路102巷4弄25號對側人行道,20,25.06157,121.51683
台北市,TPE500103062,500103062,YouBike2.0_寧夏涼州街口,寧夏路141號對側,15,25.06095,121.51428
台北市,TPE500103063,500103063,YouBike2.0_延平涼州街口,延平北路二段/涼州街口(行人天橋下),14,25.06092,121.51126000000001
台北市,TPE500104001,500104001,YouBike2.0_劍潭抽水站,通河東街325巷/通河東街口,17,25.08128,121.51783999999999
台北市,TPE500104002,500104002,YouBike2.0_通河東街大南路口,通河東街1段192號(旁),15,25.08914,121.51541999999999
台北市,TPE500104003,500104003,YouBike2.0_福港街停車場,華齡街175號(旁),22,25.08695,121.51901000000001
台北市,TPE500104004,500104004,YouBike2.0_百齡國小,前港街104號(對面),47,25.08521,121.51918
台北市,TPE500104005,500104005,YouBike2.0_雨聲街165巷口,雨聲街/雨聲街165巷(西北側),15,25.10277,121.53357
台北市,TPE500104006,500104006,YouBike2.0_天和公園,天母東路69巷30號(前方路側),13,25.12001,121.53341999999999
台北市,TPE500104007,500104007,YouBike2.0_中山天母路口,天母西路3-55號前人行道,29,25.118560000000002,121.52963999999999
台北市,TPE500104008,500104008,YouBike2.0_天母運動公園,忠誠路二段/忠誠路二段207巷(東南側),27,25.116329999999998,121.53414
台北市,TPE500104009,500104009,YouBike2.0_臺北市立大學(天母校區),士東路276號至280號對面人行道,23,25.11356,121.53718
台北市,TPE500104010,500104010,YouBike2.0_忠誠路二段53巷,忠誠路2段53巷7號(對面),18,25.11127,121.53244
台北市,TPE500104012,500104012,YouBike2.0_天母棒球場,忠誠路二段122號(對面),26,25.113410000000002,121.53195
台北市,TPE500104013,500104013,YouBike2.0_天母北天玉街口,天母北路33號(前),15,25.12011,121.52651999999999
台北市,TPE500104014,500104014,YouBike2.0_蘭興公園,中山北路六段/士東路(西北側),48,25.11184,121.52588999999999
