ID,縣市,鄉鎮市區,路名,土地面積,使用分區,移轉層次,總樓層數,主要用途,主要建材,建物型態,屋齡,建物面積,車位面積,車位個數,橫坐標,縱坐標,備註,主建物面積,陽台面積,附屬建物面積,N_lib_2000,鄰近熱門國小,鄰近熱門國中,鄰近完全中學,單價
TR-11,新北市,泰山區,泰林路二段,-0.3333109588389669,,5,13,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.75,-0.3039993679337732,1.4901550484894155,1.0,292757,2772935,,-0.0063652469584726,0.0147729791929347,-0.3231540884237535,3,0,0,1,1.348535956051585
TR-12,台中市,南區,五權南路,-0.8230188181087694,,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.5,-0.3855837962984463,-0.8193256863726953,0.0,216486,2667851,,-0.353755769799572,0.0949706662617512,-0.4384519028208025,2,0,0,1,1.114308917356535
TR-13,台北市,士林區,中山北路七段,-0.136019448397967,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),33.916666666666664,-0.2907849886916075,-0.8193256863726953,0.0,303912,2779315,,-0.0915155298372764,0.7416711641145498,-0.4384519028208025,5,0,0,1,2.543093853396339
TR-14,台中市,南屯區,向上路二段,0.1009514729016135,,5,25,住家用,鋼骨造,住宅大樓(11層含以上有電梯),7.166666666666667,2.1113593422428925,1.34339874761189,2.0,213748,2671323,,1.7291729107207985,0.6000454614185544,1.0732305526071753,0,0,0,1,2.051217072136734
TR-15,新北市,新店區,北宜路二段,-1.1749182328824468,,17,18,住家用,鋼骨造,住宅大樓(11層含以上有電梯),21.166666666666668,-0.9561002566232392,-0.2987270190492629,1.0,305635,2760725,,-0.7959148798978117,-0.4374054691737978,-0.011422960609509,0,0,0,1,1.8638354411806943
TR-16,台北市,文山區,新光路一段,1.1998139945709263,,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.58333333333333,-0.309170211985055,-0.8193256863726953,0.0,307965,2765089,,-0.1721395518321568,0.4874274327687266,0.9301758569663924,10,0,0,1,2.472825741787824
TR-17,台中市,西屯區,工業區一路,-0.1178020084035368,,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),30.33333333333333,0.0872611652799064,-0.8193256863726953,0.0,210831,2675172,,0.4584251675593824,0.3236193910962499,-0.4384519028208025,2,0,0,1,1.09088621348703
TR-18,新北市,新莊區,天祥街,-1.078615749956745,,13,18,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.083333333333333,-0.7061761274779373,-0.8193256863726953,0.0,292103,2768931,,-0.928308010752563,-1.1608909865605694,0.0910639855212011,0,0,0,1,2.0043716643977243
TR-19,新北市,深坑區,文化街,-0.592368723614644,,4,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.5,-0.5246220474551434,-0.8193256863726953,0.0,312552,2766008,,-0.4451296613937701,-0.2309390833157804,-0.0199635394537349,1,0,0,1,1.676453810224655
TR-20,新北市,土城區,裕民路,-0.4598476627580631,,10,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.2172440955178179,0.944839530491874,1.0,295953,2763944,,0.2411646451310728,-0.0517740377365089,-0.2975323518910757,0,0,0,1,2.0277943682672293
TR-21,新北市,三峽區,大觀路,0.2740652199726967,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),15.166666666666666,0.664672084339742,0.3840759808230132,1.0,287719,2760030,,0.5911011897193791,0.0608439909133187,0.2874972989383961,0,0,0,1,1.8638354411806943
TR-22,新北市,樹林區,保安街二段,0.6884759295029875,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),32.166666666666664,-0.147150431711549,-0.8193256863726953,0.0,291632,2766676,,0.5251875155972483,0.7928611771371986,-0.4384519028208025,0,0,0,1,1.2079997328345549
TR-23,台北市,大安區,永康街,0.3054049848179962,,2,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),7.833333333333333,0.3641885911374593,1.3279507159405717,3.0,303452,2769440,,-0.2884078782879319,-0.3725647860117757,1.423394285220436,13,0,0,1,5.564622652562481
TR-24,高雄市,三民區,市中一路,0.3547699211617421,,5,5,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),42.66666666666666,-1.0060850824522998,-0.8193256863726953,0.0,176668,2504317,,-0.6114697488779446,-1.6420771089734696,0.6376610315516564,7,0,0,1,0.6973847884793465
TR-25,桃園市,桃園區,同安街,-0.4050992085267808,,3,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),19.25,-0.3195119000876193,0.4226960600013094,1.0,280593,2767496,,-0.4445638787832794,-0.111495719596266,0.0569016701442973,9,0,0,1,1.348535956051585
TR-26,新北市,三重區,仁愛街,0.5837857334400087,,3,4,其他,鋼筋混凝土造,公寓(5樓含以下無電梯),40.5,-0.5418581942927503,-0.8193256863726953,0.0,299635,2774869,,-0.1806262909895126,1.1767862748070657,-0.4384519028208025,0,0,0,1,1.6296084024856448
TR-27,台北市,大安區,光復南路,-0.12960248734452,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),41.25,0.132649685285605,-0.8193256863726953,0.0,306167,2769827,,0.4343794066135409,1.7501144206607335,-0.4384519028208025,13,0,0,1,3.8313425662191127
TR-28,新北市,板橋區,文化路二段,-1.0768132328069002,,4,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),6.583333333333333,-0.4798080656773649,-0.8193256863726953,0.0,297388,2768742,,-0.7464089014799027,-0.1831617378279745,-0.4384519028208025,11,0,0,1,2.8944344114389136
TR-29,桃園市,八德區,建德路,0.9324406173439654,,20,23,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.0,0.6060691850918781,0.580265983048758,1.0,278407,2757642,,0.4018469065103434,0.4242930833741261,-0.4384519028208025,0,0,0,1,1.8169900334416844
TR-30,新北市,樹林區,東榮街,-0.6384170284026762,,5,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.666666666666668,-0.6872163659565695,-0.8193256863726953,0.0,291938,2763890,,-0.710764597019008,-0.9356549292609142,-0.1523425115392358,9,0,0,1,1.5827629947466348
TR-31,台中市,西屯區,工業區一路,-0.1534918479704614,,5,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),29.0,0.0096985045106746,-0.1380674896675508,1.0,210676,2674260,花台2.65㎡,0.2694537756555923,-0.0108220273183897,0.1273614456091611,2,0,0,1,1.2314224367040598
TR-32,台北市,內湖區,成功路二段,0.6191150695769644,,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),42.16666666666666,-0.5889703289822094,-0.8193256863726953,0.0,309418,2773288,,-0.1039627472680649,0.2468343715622765,-0.4384519028208025,4,0,0,1,2.2151759992232694
TR-33,高雄市,前金區,民生二路,-0.2433052691567222,,3,12,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),35.25,0.4446239430462925,-0.8193256863726953,0.0,177304,2502806,,0.8358021687564725,0.6358784705344085,-0.4384519028208025,6,0,0,1,0.9878263164612082
TR-34,台北市,大安區,和平東路二段,-1.0099758968906596,,10,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.166666666666664,-0.406841710731495,-0.8193256863726953,0.0,304609,2768686,,-0.0635092906180019,-0.5722058368001067,-0.4384519028208025,6,0,0,1,3.8313425662191127
TR-35,桃園市,中壢區,公園路二段,1.176621607242925,,4,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.666666666666667,0.9398758955135345,2.183771670531615,2.0,270742,2766664,,0.5495161678483351,-0.1370907261075905,2.4418583123943702,0,0,0,1,1.5359175870076247
TR-36,台北市,內湖區,大湖山莊街,-0.3257163532476212,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),40.833333333333336,-0.9313951128226692,-0.8193256863726953,0.0,310486,2775727,,-0.6148644445408871,-0.0312980325274495,-0.4384519028208025,4,0,0,1,2.379134926309804
TR-37,台南市,新市區,富林路,0.53038315868061,,6,7,集合住宅,鋼筋混凝土造,華廈(10層含以下有電梯),4.916666666666667,-0.7647790267258012,-0.1535155213388694,1.0,177456,2553464,,-0.7311327709966622,-1.0602172942826933,-0.4384519028208025,1,0,0,1,1.4656494753991098
TR-38,新北市,五股區,登林路,-0.4372801480420079,,8,14,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.25,-0.6062064758198165,0.6652301572410093,1.0,293208,2773561,,-0.9062424889434376,-0.765021552518751,0.3366056272926947,3,0,0,1,1.98094896052822
TR-39,桃園市,中壢區,永福路,0.1114781730567064,,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),27.416666666666668,0.1975725050405916,0.2342300736112242,1.0,275598,2761637,,0.7302837119000146,0.1939380247722059,-0.0882881702075419,0,0,0,1,0.9737726941395052
TR-40,台北市,松山區,八德路三段,0.1021291174395121,,5,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.91666666666666,-0.8664722930676826,-0.8193256863726953,0.0,306100,2771335,,-0.5249050094729149,0.0625503246807403,-0.4384519028208025,7,0,0,1,3.362888488829013
TR-41,桃園市,蘆竹區,南祥路,0.1673321711398935,,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),25.83333333333333,0.2780078569494243,0.7007606300850419,1.0,280453,2771124,,0.7724345163815489,-1.6420771089734696,-0.4384519028208025,0,0,0,1,1.2314224367040598
TR-42,新北市,林口區,信義路,-0.5059440346700912,,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.333333333333334,0.0694504802143789,-0.2060388290213521,1.0,287773,2774928,,-0.2654936825630711,-0.0057030260161249,0.6782287810617295,0,0,0,1,1.7232992179636646
TR-43,台中市,北屯區,敦富一街,-0.4383616583319148,,6,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),2.1666666666666665,-0.6590639927884783,0.29756700346363,1.0,220153,2675479,,-0.8986044237018174,-1.0226779513994173,0.1401723138754998,0,0,0,1,1.8638354411806943
TR-44,苗栗縣,頭份市,八德二路,0.1407991186941801,,9,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.916666666666667,-0.3396207380648277,-0.8193256863726953,0.0,239770,2732820,,-0.598739640141911,-0.5278411588471442,-0.4384519028208025,0,0,0,1,1.058094428069723
TR-45,新北市,五股區,五福路,0.3252567070282854,,7,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),28.916666666666668,0.0269346513482815,0.445868107508287,1.0,293944,2775729,,0.4445634936023679,0.5454427808610621,-0.2313428658483255,5,0,0,1,1.395381363790595
TR-46,台中市,豐原區,三民路,-0.7814407558523522,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),18.08333333333333,-0.0753331532215196,0.5555491323746484,1.0,221760,2683277,,-0.1984484432199601,-0.0347107000622927,-0.4384519028208025,4,0,0,1,1.09088621348703
TR-47,台中市,南區,忠明南路,0.2564966861522104,,18,24,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),4.75,1.0461654676787775,1.255344967085375,2.0,216037,2668146,,0.7727174076867939,0.3782220716537421,-0.4384519028208025,2,0,0,1,1.6530311063551495
TR-48,新北市,新莊區,福壽街,-0.4344682212882501,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.5,-0.8480870697742351,-0.8193256863726953,0.0,296202,2771588,,-0.4892607050120205,0.0301299830997294,-0.4384519028208025,0,0,0,1,1.6296084024856448
TR-49,新竹縣,竹北市,三民路,0.1562526990588483,,6,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.833333333333333,0.3199491475876014,0.6575061414053504,1.0,251503,2747345,,-0.0833116819851656,0.280961046910709,0.7422831223934235,0,0,0,1,2.285444110831784
TR-50,台北市,文山區,萬安街,1.463630404622194,,4,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),30.416666666666668,1.1432624281972976,-0.8193256863726953,0.0,307636,2766088,,1.1942254525021343,0.907185539554448,0.1423074585865564,10,0,0,1,2.0418479905889324
TR-51,桃園市,中壢區,龍吉二街,-0.5472817613065292,,8,8,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),26.416666666666668,-0.4510811542813532,-0.8193256863726953,0.0,273910,2758845,,-0.1642185952852913,-0.0312980325274495,-0.4384519028208025,0,0,0,1,0.9503499902700004
TR-52,新北市,新莊區,中央路,0.4196124714321548,,2,28,店鋪,鋼骨造,住宅大樓(11層含以上有電梯),9.666666666666666,2.073439819200157,2.183771670531615,2.0,295958,2772467,,1.953505715780237,-1.6420771089734696,2.187776091778652,0,0,0,1,2.2151759992232694
TR-53,台中市,西屯區,福中五街,-0.5939789722685055,,4,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),29.08333333333333,-0.0351154772671035,-0.8193256863726953,1.0,210950,2675067,,-0.1710079866111763,0.8457575239272692,-0.2847214836247367,2,0,0,1,1.114308917356535
TR-54,新北市,三重區,五華街,-0.0487055176594907,住,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),41.75,-0.6159736256944605,-0.8193256863726953,0.0,299677,2775033,,0.1656326666306058,-1.6420771089734696,-0.4384519028208025,0,0,0,1,1.9575262566587144
TR-55,新北市,新店區,安民街,-0.8627943632153419,,8,16,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.25,-0.5757559497400438,-0.8193256863726953,0.0,302120,2762408,,-0.629291901108392,-0.3213747729891267,0.2981730224936782,0,0,0,1,1.7232992179636646
TR-56,新北市,板橋區,大同街,-0.3360267513447325,,2,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),5.916666666666667,0.0872611652799064,0.3624487364831675,1.0,298201,2768820,,-0.189678812757359,-0.1848680715953964,0.1786049186745163,0,0,0,1,3.034970634655944
TR-57,台南市,永康區,永二街,-0.3000485090338329,,5,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),27.25,-0.391903716805569,-0.3558847362331412,1.0,172745,2546549,,-0.348097943694668,-0.0927260481546281,-0.4384519028208025,2,0,0,1,0.7161229515749503
TR-58,高雄市,新興區,中正二路,-0.9891868657624509,,11,29,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.9166666666666665,1.3018349791032822,-0.3342574918932954,1.0,179689,2503537,,0.8550387775131459,1.0471049084830215,-0.4384519028208025,8,0,0,1,1.4375422307557038
TR-59,新北市,三重區,元富二街,-0.075022268047223,,16,21,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.0833333333333333,0.0849630123682255,0.903129844979314,1.0,300193,2774539,,-0.1562976387384258,-0.7155378732635237,0.5479849536872851,0,0,0,1,2.472825741787824
TR-60,台北市,大安區,復興南路二段,0.4009864608837601,,6,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),38.91666666666666,0.396937270128913,-0.8193256863726953,0.0,304979,2769150,,1.019115734555359,1.2057939488532337,-0.4384519028208025,6,0,0,1,4.393487459087233
TR-61,新北市,新店區,文化路,0.0365174931851658,,4,4,住家用,加強磚造,公寓(5樓含以下無電梯),49.91666666666666,-0.996892470805576,-0.8193256863726953,0.0,305040,2763950,,-0.8742757714507307,0.8901222018802316,-0.4384519028208025,0,0,0,1,2.1449078876147545
TR-62,台南市,安平區,永華路二段,-0.6307983892493327,,22,22,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.5,-0.0063885658710917,0.6961262205836465,1.0,165790,2543390,,-0.3319731392956921,-0.394747124988257,0.4177411263128406,2,0,0,1,1.9106808489197045
TR-63,台中市,西屯區,文心路三段,-1.2203656986205305,,7,28,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.3333333333333333,-0.3953509461730906,-0.8193256863726953,0.0,215546,2674066,,-0.7150079665976861,-0.3401444444307647,-0.3018026413131887,0,0,0,1,2.425980334048814
TR-64,新北市,三重區,捷運路,-0.9143463537008998,,17,24,住家用,鋼骨造,住宅大樓(11層含以上有電梯),24.58333333333333,0.4360058696274889,-0.8193256863726953,0.0,299053,2772146,,0.7283034727632985,1.1938496124812823,0.1978212210740245,8,0,0,1,2.2151759992232694
TR-65,基隆市,暖暖區,碇內街,0.7585818298509467,,9,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.25,0.5422954417927323,0.5169290531963522,1.0,326184,2776112,,0.5636607331105948,0.1717556857957248,-0.4384519028208025,1,0,0,1,1.0440408057480202
TR-66,台中市,潭子區,榮興街,-0.415217338127909,,5,12,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.25,-0.2499927745092708,-0.8193256863726953,1.0,219607,2676037,,-0.5325430747145354,-0.2275264157809372,-0.0007472370542267,0,0,0,1,1.0440408057480202
TR-67,台南市,永康區,中華路,-0.779445970206524,,8,16,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),32.666666666666664,-0.132212437785623,-0.8193256863726953,0.0,171641,2545004,,-0.0159835513368093,-1.6420771089734696,-0.4384519028208025,0,0,0,1,0.7863910631834654
TR-68,台中市,太平區,立文街,-0.3396798527684178,,14,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),3.8333333333333335,0.3779775086075454,0.631244487564109,1.0,221030,2672767,,0.1384751013270672,0.0045349765884048,0.1764697739634595,0,0,0,1,1.27826784444307
TR-69,新北市,林口區,南勢,1.071234437882006,,6,9,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),15.25,-0.1144017527200955,-0.8193256863726953,0.0,286189,2774245,,-0.1537516169912194,-0.4612941419177006,0.1465777480086693,0,0,0,1,1.676453810224655
TR-70,桃園市,大園區,致祥一街,1.741314179946266,,3,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.0,2.038967525524943,1.9427823764590464,2.0,271434,2766763,,1.7328504976889858,1.0436922409481786,0.7145262411496893,0,0,0,1,1.7092455956419617
TR-71,台北市,信義區,松山路,0.0203429059605595,,3,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),50.25,-0.8319999993924686,-0.8193256863726953,0.0,308422,2770252,,-0.328861334937995,-0.7820848901929673,-0.4384519028208025,7,0,0,1,3.222352265611983
TR-72,台中市,南區,崇倫北街,0.3656811583088022,,4,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),28.75,-0.8716431371189649,-0.8193256863726953,0.0,215050,2669488,,-0.4403205092046017,-0.8435129058201462,-0.4384519028208025,5,0,0,1,1.0674635096175251
TR-73,台北市,萬華區,成都路,-1.334356883176708,,7,22,住家用,鋼骨造,住宅大樓(11層含以上有電梯),5.5,-0.9940197796659748,-0.8193256863726953,0.0,300657,2770667,,-1.22166629429183,-1.2615646788384458,0.035550223033733,5,0,0,1,2.707052780482874
TR-74,台中市,潭子區,中山路二段,-0.4489123920490055,,8,15,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),1.8333333333333333,-0.5625415704978787,0.4582265328453418,1.0,219937,2677471,,-0.7517838362795612,-0.9339485954934924,-0.4384519028208025,1,0,0,1,1.7935673295721797
TR-75,高雄市,鼓山區,美術東二路,-0.4284598307887677,,8,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),17.833333333333332,0.0481925657813305,-0.0623721344780902,1.0,176810,2506059,,-0.2527635738270376,0.5181414405823159,-0.0818827360743726,4,0,0,1,1.4422267715296049
TR-76,新北市,土城區,裕民路,-0.2961550719901684,,4,12,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),28.916666666666668,0.2389392574508483,-0.8193256863726953,0.0,295358,2764506,,0.22956610161602,1.2433332917365094,-0.4384519028208025,0,0,0,1,2.051217072136734
TR-77,新竹縣,竹北市,科大二街,0.4401130998163884,,12,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),7.416666666666667,-0.0408608595463059,0.7254774807591514,1.0,250768,2746044,,-0.4128800525958179,-0.2343517508506236,1.3358533520671207,0,0,0,1,2.1449078876147545
TR-78,台北市,文山區,興隆路三段,1.1839037765282974,,9,12,商業用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),26.416666666666668,1.9194635741175337,0.9942732318400926,2.0,306086,2765391,,2.025642998617762,0.7757978394629823,8.482182699973112,10,0,0,1,1.9575262566587144
TR-79,台北市,中山區,北安路,1.1621293693581736,住,2,4,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),49.333333333333336,-0.9400131862414728,-0.8193256863726953,0.0,305403,2775142,,-0.3622425089569278,-1.6420771089734696,-0.4384519028208025,5,0,0,1,3.362888488829013
TR-80,新北市,板橋區,金門街,-0.0950902923154938,,2,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),36.0,-0.5326655826460264,-0.8193256863726953,0.0,293380,2764364,,0.0295619488076669,-0.0057030260161249,-0.4384519028208025,0,0,0,1,1.4422267715296049
TR-81,新北市,新店區,文化路,-0.2551057480977057,,13,15,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),12.25,0.8123284089152422,1.2182696910742103,1.0,304895,2763604,,0.7520663424038949,0.4464754223506074,0.631255597418487,0,0,0,1,3.222352265611983
TR-82,新北市,板橋區,中山路一段,-0.361334092128552,,3,4,住家用,加強磚造,公寓(5樓含以下無電梯),46.833333333333336,-1.156614098167401,-0.8193256863726953,0.0,297440,2767536,,-1.059286685081088,0.4396500872809207,-0.4384519028208025,11,0,0,1,2.1917532953537644
TR-83,台中市,北屯區,安順四街,-0.0869669483601937,,3,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),31.416666666666668,-0.0845257648682438,0.3114702319678166,1.0,218363,2674225,,0.0821797315832732,-0.0125283610858113,0.4113356921796707,4,0,0,1,1.0206181018785152
TR-84,台南市,安南區,生態二街,1.1007236184534646,,10,19,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),0.4166666666666667,1.9269325710804968,1.6508145778711276,2.0,165853,2547249,,1.4536367794119782,1.5044023581520192,-0.4384519028208025,0,0,0,1,1.37195865992109
TR-85,新北市,新店區,安德街,-0.8446009567829097,,3,13,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.083333333333333,-0.5970138641730925,-0.8193256863726953,0.0,301724,2761757,,-0.8004411407817348,-0.908353588982168,0.4946063359108733,0,0,0,1,2.332289518570794
TR-86,台北市,中正區,和平西路二段,0.9109546129178168,住,4,7,其他,鋼筋混凝土造,華廈(10層含以下有電梯),42.66666666666666,1.3753758722770724,-0.8193256863726953,0.0,301846,2768979,,2.45676934781144,4.089498015795791,-0.4384519028208025,12,0,0,1,3.0818160423949537
TR-87,台北市,中山區,龍江路,1.576900582318433,,7,7,住家用,鋼筋混凝土造,華廈(10層含以下有電梯),37.75,5.134004959331245,-0.8193256863726953,0.0,304556,2771794,,6.32474216442899,-0.4851828146616034,-0.4384519028208025,12,0,0,1,2.8007435959608937
TR-88,新竹縣,竹北市,六家五路二段,0.0520912413598237,,7,24,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),9.916666666666666,0.1441404498440097,0.6590509445724821,1.0,253785,2743737,,-0.0349372687882374,-0.9151789240518546,0.7166613858607458,0,0,0,1,2.051217072136734
TR-89,新北市,新莊區,新北大道三段,0.3005742388564125,,5,25,集合住宅,鋼筋混凝土造,住宅大樓(11層含以上有電梯),7.0,1.378823101644593,2.8820227020752096,2.0,296020,2772501,,1.0114776693137388,0.5454427808610621,-0.4384519028208025,0,0,0,1,2.472825741787824
TR-90,高雄市,左營區,孟子路,-0.098406923871208,,13,15,其他,鋼筋混凝土造,住宅大樓(11層含以上有電梯),6.333333333333333,0.2423864868183694,0.0503984967225344,1.0,179652,2508174,,-0.1226335734142477,-0.0671310416433036,0.6654179127953905,0,0,0,1,1.4188040676601
TR-91,桃園市,龜山區,文化七路,2.302810288903883,,3,5,住家用,鋼筋混凝土造,公寓(5樓含以下無電梯),14.75,-0.0701623091702378,-0.8193256863726953,0.0,286697,2771590,,0.2485198190674481,-0.0142346948532332,0.6803639257727858,0,0,0,1,1.2314224367040598
TR-92,新北市,樹林區,大義路,-0.7100130095945067,,11,19,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),13.0,0.1682710554166594,0.5833555893830216,1.0,288210,2759821,,-0.031542573125295,-0.0859007130849417,-0.4384519028208025,0,0,0,1,1.7701446257026745
TR-93,新北市,土城區,員林街,0.4275195133294738,,13,14,住家用,鋼筋混凝土造,住宅大樓(11層含以上有電梯),10.666666666666666,1.0702960732514275,0.3238286573048713,1.0,294710,2763389,,0.7704542772448324,0.1069150026337027,1.446880877042057,5,0,0,1,2.26202140696228
